"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jan 2018",177.476153256203,151.148480404116,207.365170010263,138.539618812229,224.748293004278
"Feb 2018",177.597015539333,151.225917661719,207.539255162028,138.597607701781,224.954973200109
"Mar 2018",177.711504434509,151.296448671979,207.707808758046,138.648516326407,225.15671081856
"Apr 2018",177.81995294917,151.360414531403,207.871147296451,138.692687096749,225.353809740123
"May 2018",177.922677011182,151.418141934363,208.029567129487,138.730449294279,225.546551905089
"Jun 2018",178.019976311365,151.469943546246,208.183345881997,138.762119234695,225.735199084728
"Jul 2018",178.11213510801,151.516118395167,208.33274376095,138.788000474689,225.919994499491
"Aug 2018",178.199422994706,151.556952277789,208.478004764796,138.808384055063,226.101164297688
"Sep 2018",178.282095632817,151.592718175234,208.619357800724,138.823548773962,226.278918906961
"Oct 2018",178.360395449908,151.623676675643,208.757017717235,138.83376148465,226.453454269779
"Nov 2018",178.434552305439,151.650076400306,208.89118625885,138.839277412911,226.624952973228
"Dec 2018",178.504784125016,151.672154430737,209.022052949243,138.840340489698,226.79358528248
"Jan 2019",178.571297504449,151.690136734374,209.149795908525,138.837183695196,226.959510086483
"Feb 2019",178.634288284879,151.704238586945,209.27458260998,138.830029410912,227.122875763671
"Mar 2019",178.693942100164,151.714664989799,209.396570581107,138.81908977684,227.283820974806
"Apr 2019",178.750434897721,151.721611080786,209.515908053397,138.804567051115,227.442475389424
"May 2019",178.803933433956,151.725262537469,209.632734564941,138.786653969947,227.598960351785
"Jun 2019",178.854595745413,151.725795971685,209.747181519615,138.765534105889,227.753389491692
"Jul 2019",178.902571596707,151.72337931464,209.859372706252,138.741382222807,227.905869285059
"Aug 2019",178.948002906287,151.718172191889,209.969424780974,138.714364626153,228.056499568686
"Sep 2019",178.991024151044,151.710326287684,210.077447715549,138.684639507359,228.205374013262
"Oct 2019",179.031762750727,151.699985698334,210.18354521443,138.652357281383,228.352580558292
"Nov 2019",179.070339433106,151.687287274274,210.287815102889,138.61766091659,228.498201812272
"Dec 2019",179.106868580784,151.672360950705,210.390349688482,138.580686256333,228.642315421151
"Jan 2020",179.141458560517,151.655330066686,210.49123609788,138.541562331707,228.784994407853
"Feb 2020",179.174212035885,151.636311672688,210.59055659093,138.500411665097,228.92630748535
"Mar 2020",179.20522626409,151.615416826641,210.688388853673,138.457350564225,229.066319345577
"Apr 2020",179.23459337767,151.592750878576,210.784806271889,138.412489406501,229.205090926257
"May 2020",179.262400651836,151.568413744023,210.879878186611,138.365932913573,229.342679657517
"Jun 2020",179.28873075815,151.542500166337,210.973670132952,138.317780416017,229.479139690017
"Jul 2020",179.313662005201,151.515099968168,211.066244063442,138.268126108195,229.614522106135
"Aug 2020",179.337268566929,151.486298292331,211.157658557018,138.217059293337,229.748875115637
"Sep 2020",179.359620699193,151.456175832333,211.247969014692,138.164664618961,229.882244237107
"Oct 2020",179.380784945187,151.424809052833,211.337227842838,138.111022302775,230.014672466323
"Nov 2020",179.400824330239,151.392270400343,211.425484624982,138.056208349234,230.146200432634
"Dec 2020",179.419798546539,151.358628504461,211.512786282901,138.000294756961,230.276866544317
"Jan 2021",179.437764128296,151.323948369953,211.599177227764,137.943349717245,230.406707123793
"Feb 2021",179.454774617806,151.28829156,211.684699502011,137.885437803854,230.535756533514
"Mar 2021",179.47088072289,151.251716370915,211.769392912583,137.826620154422,230.664047293254
"Apr 2021",179.486130466147,151.214277998656,211.853295156116,137.766954643652,230.791610189477
"May 2021",179.500569326421,151.176028697446,211.936441936607,137.706496048624,230.918474377387
"Jun 2021",179.514240372902,151.137017930807,212.01886707607,137.645296206455,231.044667476231
"Jul 2021",179.527184392218,151.097292515308,212.100602618638,137.583404164592,231.170215658361
"Aug 2021",179.539440008882,151.056896757342,212.181678928534,137.52086632402,231.295143732519
"Sep 2021",179.551043799444,151.015872583212,212.262124782314,137.457726575634,231.419475221779
"Oct 2021",179.562030400659,150.974259662813,212.341967455748,137.394026430063,231.543232436536
"Nov 2021",179.57243261199,150.932095527197,212.421232805668,137.329805141197,231.666436542905
"Dec 2021",179.582281492728,150.889415680278,212.499945347124,137.265099823684,231.789107626845
"Jan 2022",179.591606454017,150.84625370496,212.578128326109,137.199945564647,231.911264754338
"Feb 2022",179.600435346042,150.802641363915,212.655803788164,137.134375529875,232.032926027873
"Mar 2022",179.608794540635,150.758608695283,212.732992643081,137.068421064715,232.154108639506
"Apr 2022",179.61670900953,150.714184103507,212.80971472597,137.002111789921,232.274828920735
"May 2022",179.624202398505,150.669394445552,212.885988854895,136.935475692675,232.39510238939
"Jun 2022",179.631297097608,150.624265112706,212.96183288529,136.86853921299,232.514943793753
"Jul 2022",179.638014307693,150.578820108199,213.037263761349,136.801327325741,232.634367154096
"Aug 2022",179.644374103441,150.533082120813,213.112297564561,136.733863618486,232.753385801782
"Sep 2022",179.650395493051,150.4870725947,213.186949559578,136.666170365314,232.872012416121
"Oct 2022",179.656096474793,150.440811795588,213.261234237543,136.598268596881,232.9902590591
"Nov 2022",179.661494090559,150.39431887354,213.335165357055,136.530178166836,233.108137208134
"Dec 2022",179.666604476596,150.347611922461,213.408755982891,136.461917814805,233.225657786961
