"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"May 2018",211.653876470208,119.827129606589,315.676475109739,93.8175604960296,402.814154776626
"Jun 2018",211.92771700913,119.354024909026,316.354058436814,92.8557329137086,402.774910070924
"Jul 2018",212.189377620414,118.756924083743,317.815749093461,94.0065981724132,406.984904192962
"Aug 2018",212.439385614303,118.751640797226,317.296396431086,93.1643870299852,410.961129691538
"Sep 2018",212.678246763181,117.810271084121,319.010523017756,92.7685852504221,414.852615164079
"Oct 2018",212.906446063908,117.834334824835,323.202590570543,92.6623434326124,415.42496429284
"Nov 2018",213.12444848432,117.068807356005,322.972861291041,90.4316431502987,418.799012537988
"Dec 2018",213.332699693004,116.930982573094,323.057009572135,89.7374780235107,419.570949314362
"Jan 2019",213.53162677166,117.191287955534,325.645662750758,90.0367352309766,421.712101226907
"Feb 2019",213.721638909508,117.534254975752,325.666139697387,89.2648129083773,424.754430824705
"Mar 2019",213.903128079315,116.477697088843,327.430497379646,88.3844767706735,429.024522292504
"Apr 2019",214.076469694758,115.338962236202,329.424691804106,88.305668508001,427.021951351604
"May 2019",214.242023248937,115.756326977001,331.165776221617,88.1411522650323,431.481993974228
"Jun 2019",214.400132933937,115.006718388343,332.64265133372,87.1666756373527,433.79816975839
"Jul 2019",214.551128241449,114.507097696527,333.540050822767,86.5988146250239,436.744836092838
"Aug 2019",214.695324544498,114.300384155327,333.827985539615,86.0645344412081,437.156624975568
"Sep 2019",214.833023660414,113.890057119719,336.784876884604,85.920605892065,441.24121082614
"Oct 2019",214.964514395236,113.233465622698,336.817821498216,86.1115010795917,440.159637271998
"Nov 2019",215.090073069775,112.630972393798,339.53958355612,84.7165078682981,440.920566521366
"Dec 2019",215.209964027611,112.715794888094,340.666495164259,84.968259308722,448.152082831245
"Jan 2020",215.324440125336,112.65114933512,336.949942083326,83.6833015788737,448.271185676223
"Feb 2020",215.433743205388,111.836909156249,338.267984916091,81.9080801744583,446.886899877159
"Mar 2020",215.538104551824,110.701318181438,341.962625460058,81.2769992377609,448.638866602274
"Apr 2020",215.637745329435,110.658888673338,341.338298261075,81.3033889724351,448.377823039525
"May 2020",215.732877006588,110.920402951988,344.351624061754,81.0083143802287,453.892532305047
"Jun 2020",215.823701762219,109.761434806711,343.707545803326,81.2881480837203,453.238544765724
"Jul 2020",215.910412877395,109.663768047287,343.642324591069,80.394028299561,457.439903921766
"Aug 2020",215.993195111869,109.869313840791,342.641131970004,80.2062590082854,456.964768471297
"Sep 2020",216.072225066072,109.80921347289,345.402307950968,79.8889107142489,459.637740670125
"Oct 2020",216.147671528972,109.370539884863,347.022669151948,79.7088181583551,460.497894071214
"Nov 2020",216.219695812231,108.223787493403,344.957855142344,79.5399522640621,460.410468767219
"Dec 2020",216.288452071104,107.997805904056,346.945407947737,79.4955719710486,463.177320683388
"Jan 2021",216.354087612496,106.626183160299,347.762660197759,78.7518491023285,468.573531752714
"Feb 2021",216.416743190621,106.645134705055,352.321479710341,78.3718256091571,475.052027265196
"Mar 2021",216.476553290668,105.721014078823,350.345928741876,78.6238174756741,480.079440485116
"Apr 2021",216.533646400895,104.968450484797,351.043558595753,78.1618988604719,479.943121428415
"May 2021",216.588145273559,104.836761854537,353.318255884301,76.5275068055736,482.011634081843
"Jun 2021",216.640167175076,103.995856886974,352.8315246464,76.7890555360663,485.39746951695
"Jul 2021",216.689824125808,104.174570472309,355.822592183968,75.2870844984295,479.220323385061
"Aug 2021",216.737223129849,103.650300681072,355.957812930511,75.4618619745923,482.866294880154
"Sep 2021",216.782466395193,102.583042022787,357.25065596273,74.1267889534972,480.437068577542
"Oct 2021",216.825651544641,101.564310560252,353.830118030949,72.7892803558792,484.287206980066
"Nov 2021",216.866871817792,101.552859736045,352.817854228773,72.4166625962195,481.69870036117
"Dec 2021",216.90621626448,101.009378033905,354.86698003021,73.1990460610434,484.821062380404
"Jan 2022",216.94376992997,101.564059534524,355.796097028112,72.5937959077886,485.735160007013
"Feb 2022",216.979614032248,101.160732715408,356.43704408627,73.4401918024898,493.024776581907
"Mar 2022",217.013826131713,100.742632777391,355.443133474743,73.3638422236506,500.510894104059
"Apr 2022",217.046480293571,100.551751535886,359.451369637008,71.6860500799668,495.402718250845
"May 2022",217.077647243236,99.7953822684992,361.5201121638,70.3700322282411,502.43967985952
"Jun 2022",217.107394514998,99.2529964602245,360.860058984867,70.6556918262587,503.217447019528
"Jul 2022",217.135786594263,98.0546479451531,362.766216361413,70.9172289219742,504.852192508251
"Aug 2022",217.162885053592,98.3557132670236,361.957999589478,70.6066467806424,511.085116384609
"Sep 2022",217.18874868283,98.473559746063,361.024454833233,70.3486686229736,512.762841025989
"Oct 2022",217.21343361354,98.1519003442694,362.28124669039,69.4251129746959,516.554344543623
"Nov 2022",217.236993437996,98.632286512762,362.476168136792,69.241094340744,524.344968976927
"Dec 2022",217.259479322962,98.7427579673312,364.843765004076,68.5526168862712,517.104437979618
