"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"May 2015",173.108907687321,142.613975066782,203.60384030786,126.470932865112,219.74688250953
"Jun 2015",174.275107245505,143.150665749429,205.399548741581,126.674381678673,221.875832812338
"Jul 2015",175.417491212789,143.675949597082,207.159032828496,126.872992455825,223.961989969752
"Aug 2015",176.536545940213,144.189604235029,208.883487645397,127.066167645107,226.006924235319
"Sep 2015",177.632747846782,144.69146241297,210.574033280594,127.25339925827,228.012096435294
"Oct 2015",178.706563622291,145.181404143638,212.231723100943,127.434256739971,229.97887050461
"Nov 2015",179.75845042601,145.659350078513,213.857550773507,127.60837673162,231.9085241204
"Dec 2015",180.788856081313,146.125255894911,215.452456267716,127.77545438415,233.802257778477
"Jan 2016",181.798219266332,146.579107515746,217.017331016918,127.935235946339,235.661202586325
"Feb 2016",182.786969700715,147.02091701928,218.55302238215,128.087512410453,237.486426990976
"Mar 2016",183.755528328572,147.450719124125,220.060337533019,128.232114039678,239.278942617466
"Apr 2016",184.704307497688,147.868568156558,221.540046838819,128.36890563515,241.039709360227
"May 2016",185.633711135071,148.274535424343,222.9928868458,128.497782426643,242.7696398435
"Jun 2016",186.544134918917,148.6687069349,224.419562902934,128.618666491771,244.469603346063
"Jul 2016",187.435966447063,149.051181406492,225.820751487633,128.731503625187,246.140429268938
"Aug 2016",188.309585402001,149.422068529858,227.197102274145,128.836260592627,247.782910211375
"Sep 2016",189.165363712526,149.781487444769,228.549239980283,128.932922715442,249.397804709609
"Oct 2016",190.003665712068,150.129565401748,229.877766022388,129.021491740041,250.985839684095
"Nov 2016",190.824848293812,150.466436583876,231.183260003749,129.101983953898,252.547712633727
"Dec 2016",191.629261062633,150.792241067488,232.466281057779,129.174428515638,254.084093609628
"Jan 2017",192.417246483936,151.107123903754,233.727369064118,129.23886597165,255.595626996222
"Feb 2017",193.189140029455,151.411234305797,234.967045753113,129.295346935704,257.082933123206
"Mar 2017",193.945270320074,151.7047249282,236.185815711948,129.343930911449,258.546609728699
"Apr 2017",194.685959265734,151.987751227631,237.384167303836,129.384685240512,259.987233290955
"May 2017",195.411522202478,152.260470894851,238.562573510105,129.417684161284,261.405360243672
"Jun 2017",196.122268026702,152.523043349702,239.721492703702,129.443007965499,262.801528087904
